indicator_id,조사연도,주기,조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,통계유형,시계열비교가능,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,절사평균,환산100,상위2선지비율,긍정응답률
ST_COMP_AC_CONV,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,자율적 역량 환산점수(0~100),continuous,조건부,8884,0,70.2438,13.5737,70.83333333333334,62.5,79.16666666666666,70.6434,,,
ST_COMP_AC_CONV,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,자율적 역량 환산점수(0~100),continuous,조건부,4689,484,73.0424,13.3996,75.0,64.58333333333334,83.33333333333334,73.4726,,,
ST_COMP_AC_TOT,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,자율적 역량 원점수(총점),continuous,N,8884,0,33.717,6.5154,34.0,30.0,38.0,33.9088,,,
ST_COMP_AC_TOT,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,자율적 역량 원점수(총점),continuous,N,4689,484,47.0604,6.4318,48.0,43.0,52.0,47.2669,,,
ST_COMP_CC_CONV,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,인지적 역량 환산점수(0~100),continuous,Y,8884,0,56.4048,18.8077,58.333333333333336,45.83333333333333,70.83333333333334,56.2758,,,
ST_COMP_CC_CONV,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,인지적 역량 환산점수(0~100),continuous,Y,4689,484,59.1304,17.6895,62.5,50.0,70.83333333333334,59.2462,,,
ST_COMP_CC_TOT,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,인지적 역량 원점수(총점),continuous,조건부,8884,0,13.5371,4.5138,14.0,11.0,17.0,13.5062,,,
ST_COMP_CC_TOT,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,인지적 역량 원점수(총점),continuous,조건부,4689,484,14.1913,4.2455,15.0,12.0,17.0,14.2191,,,
ST_COMP_SC_CONV,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 환산점수(0~100),continuous,조건부,8884,0,65.811,13.1665,66.25,57.49999999999999,73.75,66.1176,,,
ST_COMP_SC_CONV,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 환산점수(0~100),continuous,조건부,4689,484,68.8748,14.4882,68.75,58.75,78.75,69.1473,,,
ST_COMP_SC_TOT,2021,1주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,8884,0,52.6488,10.5332,53.0,46.0,59.0,52.8941,,,
ST_COMP_SC_TOT,2025,2주기,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,4689,484,75.0998,11.5906,75.0,67.0,83.0,75.3179,,,
ST_MOTIV_01,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,8884,0,1.8727,0.9765,2.0,1.0,2.0,,21.82,7.31,
ST_MOTIV_01,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,5173,0,2.0037,1.0534,2.0,1.0,3.0,,25.09,9.92,
ST_MOTIV_02,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,8884,0,1.437,0.7196,1.0,1.0,2.0,,10.92,2.13,
ST_MOTIV_02,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,5173,0,1.8397,0.9887,2.0,1.0,2.0,,20.99,7.56,
ST_MOTIV_03,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,8884,0,2.0063,1.0733,2.0,1.0,3.0,,25.16,10.66,
