경기학교교육실태조사 패널데이터 정제·연계 결정 목록,,,,,,,,,
"중학교 1주기(2021)·2주기(2025) 시계열 대시보드 · 작성 기준 2026-09-23 · 노란색 칸(연구자 답변, 결정 상태)에 작성해 주세요.",,,,,,,,,
,,,,,,,,,
번호,구분,우선순위,항목,확인된 사실(요약),결정·확인이 필요한 사항,현재 처리,연구자 답변,결정 상태,후속 작업·메모
8,A. 범위·화면,1순위,학교용 설문을 연계 목록에 포함할지,"학교용 설문에 양 주기 공통 항목 16개(학교폭력 발생 빈도 8, 안전교육 실시 횟수 8)가 있음. 현재 학교안전(C05) 지표는 0개. 학교폭력은 발생 건수이므로 학교 규모 고려 필요.","① 16개 공통 항목의 변수매칭·대시보드 포함 여부
② 포함 시 학교폭력 표시 기준(원건수 / 학생 1,000명당 발생률)과 학생 수 분모 기준","학교용 설문 산출물 미포함, C05는 빈 대분류","학교용 설문 산출물에 포함하면 좋을 듯 
제시 방법은 고민인데 학생 100명당 발생률로 제시하면 가장 좋을 것 같고, 애매하면 그냥 학교 규모 고려하지 않고 그냥 발생 주기별 학교별 학교 폭력 발생 건수 평균내서 제시해도 될 듯! 
아주 정교할 필요는 없는 작업이라 
대시보드에 해석시 주의사항을 표시할 수 있는 부분을 만들 예정이니(과업지시서에는 이 내용 없음) 거기 적어주면 될 듯!",답변,
9,A. 범위·화면,1순위,학생 핵심역량을 학생성장(C01)에 포함할지,"인지·사회·자율 역량 환산점수 있음. 사회적 역량 16→20문항, 자율적 역량 12→15문항으로 원점수 총점 직접 비교 불가. 2주기 역량 점수 결측 484명.","① 역량 지표 포함 여부
② 포함 시 환산점수 3개 시계열 사용 + 구성 변경 주석
③ 원점수 총점을 단년도 정보로 제공할지",환산점수 3개·원점수 3개(총 6개) 잠정 포함. 사회·자율 원점수는 시계열 비교불가로 표시,연계해서 표시하되 그냥 모두 16문항이든 12문항이든 모두 100점으로 환산해서 제시하는 방법 좋을 듯해요!,답변,
10,A. 범위·화면,1순위,차별 경험 문항을 포함할지,"1주기 Q17_1~Q17_5, 2주기 STQ29_1~STQ29_4 중 공통 4개 대응 가능. 응답 코드 방향 반대. 2주기는 '학교 내 상호존중'으로 문항 구성 변경.","① 공통 4개 항목 역코딩 및 체벌·차별 경험 소분류 포함 여부
② 포함 시 문항 구성 차이 화면 표기 방식
③ 체벌 경험 단년도 지표 제공 여부",차별 경험·체벌 경험 모두 대시보드 지표에서 제외,포함X,답변,
11,A. 범위·화면,1순위,대분류·소분류 체계를 확정할지,"과업지시서 표4의 9개 대분류는 조정 가능한 안. 현재 원안 9개 + 진로·진학(C10), 교사 전문성(C11), 학교풍토·리더십(C12)의 12개 사용(추가 3개에 기존 연계 지표 67개 소속). C05는 빈 대분류.","① 8~10번 반영한 최종 대분류·소분류 명칭과 포함 여부
② 빈 학교안전 탭 처리(유지 / 숨김 / 학교용 설문 추가)
③ 추가 3개 대분류 채택 여부","12개 대분류 정의, 11개에 데이터 있음(최종 승인 전)",활용가능한 변수 정리되면 대분류 소분류 다시 확정할 예정,답변,8~10번 결정 후 확정 가능
1,B. 원자료·코딩,2순위,학부모 대화 주제 2개에서 1 응답이 없는 이유,"2주기 PRQ3_2_5(학교생활): 0이 369건·공란 1,113건 / PRQ3_2_6(친구관계): 0이 521건·공란 961건. 두 변수 모두 1이 0건. 코드북은 0=해당없음, 1=해당.","공란이 실제 1(해당)인지, 미응답인지, 추출 오류인지
원자료 수정본·코딩 지침 존재 여부","공란을 임의로 1로 바꾸지 않고 PR_TALK_06, PR_TALK_07 시계열 비교 보류",원데이터 공유한거라 추출 오류는 아닌 것 같고 해당 항목을 시계열에서 제ㅎ외하는 걸루!,답변,원자료 확인 항목
2,B. 원자료·코딩,2순위,학생 문화활동 2주기 응답 분기가 의도된 것인지,"2주기 문화활동 10개 문항 결측 1,055명이 사교육 미참여자 1,055명과 정확히 일치. 1주기는 전원 응답.","사교육 참여자에게만 묻는 설계인지, 설문 분기·추출 오류인지
오류라면 미참여자 응답 복구·재추출 가능 여부",응답 기저를 맞추기 위해 1주기도 사교육 참여자만 집계(문화활동 점수 21.66→24.05),이거 요상하네... 학생 문화활동 그냥 연계하지 않는게 좋을 듯!,답변,원자료 확인 항목
6,B. 원자료·코딩,2순위,별도 조사 가중치가 있는지,"SPSS 파일에서 가중치 변수 없음. 학부모 응답 1주기 5,948명 → 2주기 1,482명.","주기별·응답주체별 공식 가중치 파일과 적용 지침 존재 여부
있다면 적용 범위와 정규화 방식","비가중 단순 집계, 그래프에 응답수(N) 병기 안내",조사 가중지 없습니다 ㅠㅠ,답변,원자료 확인 항목
13,A. 범위·화면,2순위,역문항 3개와 척도 부적합 문항 1개 처리,"ST_RELATION_06, PR_RELATION_02, PR_RELATION_05는 같은 척도 내 다른 문항과 방향이 반대. ST_RELATION_02는 의미상 부정 문항이나 다른 문항과 상관이 0에 가까워 역채점만으로 해결 안 됨.","① 앞 3개 역채점 후 관계 소주제 평균 포함 여부, 문항별 화면 표시값(원점수 / 역채점 점수)
② ST_RELATION_02의 평균 제외 후 단독 표시 또는 지표 제외","4개 모두 자동 역채점 없이 소주제 평균에서 제외. 3개는 역문항, 1개는 척도 부적합으로 표시","ST_RELATION_06, PR_RELATION_02, PR_RELATION_05 이건 역채점해서 평균 같이 내서 제시 
ST_RELATION_02 이건 왜 상관이 거의 0에 가까운지 의문이네.... 이건 제외하고 나머지 문항만 구인 평균에 활용  <- 이거 유의사항 같은 거에 적어주세용!",답변,
12,A. 범위·화면,3순위,초등학교·고등학교 자료를 이번 과업에 포함할지,현재 정제 자료는 중학교 1·2주기뿐. 화면 요구사항에는 초/중/고 필터 있음.,"초·고 원자료 존재 여부와 확보 가능 시점
이번 납품 범위 포함 여부, 추가 자료 변수매칭 담당 범위",중학교 자료만 산출,중학교 자료만 산출,답변,
14,A. 범위·화면,3순위,한 주기에만 존재하는 변수를 단년도 지표로 보여줄지,"교사 디지털 활용 역량(TRQ18_1~4), 국어 기초학력 점수(K_total, K_conversion), 학생 성별(STQ1), 1주기 체벌 경험(Q16_1~5) 등은 양 주기 비교 불성립. 학부모 가구소득은 연속형 금액→3점 범주로 바뀌어 비교 불가.","단년도 전용 지표의 화면 노출 여부와 대상 지표
'시계열 비교 불가' 표시 방식",별도 단년도 지표로 확정되지 않음,"교사 디지털 활용 역량은 단년도만 보여줄 것 
나머지는 걍 패스!",답변,
