indicator_id,대분류,소주제,응답주체,지표명,연계판정,통계유형,데이터이슈,주의사항,제외사유
ST_CLASS_09,수업·평가 혁신,수업 중 평가(학생),학생,수업(수업참여/교사수업진행/수업중평가) - 3)선생님은 학생이 자신의 학습 과정을 점검하고 개선하는 기회를 제공하신다,③ 비교 불가,likert,,별개 문항으로 취급 권장,측정방식 상이 — 비교 불가
PR_EDU_COST_01,교육격차·가정배경,교육비·사교육비,학부모,"교육비 및 사교육 - 1)학교에 낸 돈(체험활동비, 방과 후 학교 수강료 포함)",① 연계가능,continuous,"1주기는 미지출을 0으로 기입, 2주기는 공란 처리 — 응답 기저가 달라 현 시점 시계열 비교 불가. 2주기 결측을 0(미지출)으로 볼지 연구원 확인 필요",양 주기 모두 이상치 확인 필요(2주기 코드북에 이상치 주의 명시),2주기 코딩 이상(확인 필요)
PR_EDU_COST_02,교육격차·가정배경,교육비·사교육비,학부모,"교육비 및 사교육 - 2)사교육비_국어, 영어, 수학 등 주요교과",① 연계가능,continuous,"1주기는 미지출을 0으로 기입, 2주기는 공란 처리 — 응답 기저가 달라 현 시점 시계열 비교 불가. 2주기 결측을 0(미지출)으로 볼지 연구원 확인 필요",사교육비(주요교과)·연속형 동일,2주기 코딩 이상(확인 필요)
PR_EDU_COST_03,교육격차·가정배경,교육비·사교육비,학부모,교육비 및 사교육 - 3)사교육비_영어를 제외한 외국어,① 연계가능,continuous,"1주기는 미지출을 0으로 기입, 2주기는 공란 처리 — 응답 기저가 달라 현 시점 시계열 비교 불가. 2주기 결측을 0(미지출)으로 볼지 연구원 확인 필요",사교육비(영어 제외 외국어)·연속형 동일,2주기 코딩 이상(확인 필요)
PR_EDU_COST_04,교육격차·가정배경,교육비·사교육비,학부모,교육비 및 사교육 - 4)사교육비_예체능,① 연계가능,continuous,"1주기는 미지출을 0으로 기입, 2주기는 공란 처리 — 응답 기저가 달라 현 시점 시계열 비교 불가. 2주기 결측을 0(미지출)으로 볼지 연구원 확인 필요",사교육비(예체능)·연속형 동일,2주기 코딩 이상(확인 필요)
PR_EDU_COST_05,교육격차·가정배경,교육비·사교육비,학부모,교육비 및 사교육 - 5)사교육비_기타,① 연계가능,continuous,"1주기는 미지출을 0으로 기입, 2주기는 공란 처리 — 응답 기저가 달라 현 시점 시계열 비교 불가. 2주기 결측을 0(미지출)으로 볼지 연구원 확인 필요",사교육비(기타)·연속형 동일,2주기 코딩 이상(확인 필요)
PR_TALK_06,교육격차·가정배경,가정 내 대화,학부모,자녀와 대화 시간 및 주제 - 5)학교생활,① 연계가능,binary,2주기 PRQ3_2_5에 1(해당) 코드가 없고 0/결측만 존재 — 결측이 '해당'일 가능성. 연구원 확인 필요,대화 주제(학교생활)·복수응답 동일,2주기 코딩 이상(확인 필요)
PR_TALK_07,교육격차·가정배경,가정 내 대화,학부모,자녀와 대화 시간 및 주제 - 6)친구관계,① 연계가능,binary,2주기 PRQ3_2_6에 1(해당) 코드가 없고 0/결측만 존재 — 결측이 '해당'일 가능성. 연구원 확인 필요,대화 주제(친구관계)·복수응답 동일,2주기 코딩 이상(확인 필요)
TR_EFFICACY_08,교사 전문성,교사 사기,교사,교사효능감·교사의 사기 - 8)나는 책임감이 높다,③ 비교 불가,likert,,사기 하위척도(8~10번) 평균을 시계열로 쓸 경우 8번 제외 후 2문항 평균으로 재구성 검토,측정방식 상이 — 비교 불가
TR_TRAIN_03,교사 전문성,교사 연수,교사,교사 연수 항목 및 수강 시간 - 3)자기계발,④ 해당 없음,excluded,,1주기 3)자기계발 항목이 2주기에서 삭제됨,한 주기에만 존재
ST_COMP_SC_TOT,학생성장,역량점수,학생,사회적 역량 원점수(총점),③ 비교 불가,continuous,,만점 상이(80 vs 100). 원점수 직접 비교 불가 — 환산점수 사용,측정방식 상이 — 비교 불가
ST_COMP_AC_TOT,학생성장,역량점수,학생,자율적 역량 원점수(총점),③ 비교 불가,continuous,,만점 상이(48 vs 60). 원점수 직접 비교 불가 — 환산점수 사용,측정방식 상이 — 비교 불가
