비교조합,주제,성립여부,사유,척도,유의사항
학생–학부모,전반적 학교만족도,성립,,5점 만족도,단일 문항이고 양 주기·양 주체 모두 불변. 대시보드 대표 지표로 가장 적합
학생–학부모,세부만족도 – 학습능력 신장,성립,,5점 리커트,양쪽 문항 번호도 1)로 동일. 항목 단위 직접 비교 가능
학생–학부모,세부만족도 – 특기·적성 계발,성립,,5점 리커트,양쪽 문항 번호도 2)로 동일
학생–학부모,동반 문화활동 – 과학관·박람회,불가,학부모 문항 미포함,4점 빈도,같은 사건을 학생·학부모가 각각 보고 → 평균 비교뿐 아니라 응답 일치도(agreement) 분석 가능
학생–학부모,동반 문화활동 – 미술관·박물관,불가,학부모 문항 미포함,4점 빈도,위와 동일
학생–학부모,동반 문화활동 – 공연·음악회,불가,학부모 문항 미포함,4점 빈도,위와 동일
학생–학부모,동반 문화활동 – 서점(·도서관),불가,학부모 문항 미포함,4점 빈도,"2주기에 ""서점→서점이나 도서관""으로 확장. 학생·학부모가 동일하게 바뀌어 주체 간 비교는 대칭. 단 주기 간 비교 시에는 양쪽 모두 ②"
학생–학부모,동반 문화활동 – 기타,불가,학부모 문항 미포함,4점 빈도,잔여 범주라 해석 주의
학생–학부모,관계 – 친구가 상처를 준 적이 있다,성립,,5점 리커트,역문항. 역채점 후 비교. 학생 자기보고 vs 학부모 대리보고 격차가 관심 지점
학생–학부모,관계 – 어려울 때 친구가 도와준다,성립,,5점 리커트,문항 내용 사실상 동일
학생–학부모,관계 – 선생님이 이해하려 노력한다,성립,,5점 리커트,문항 내용 사실상 동일
학생–학부모,관계 – 선생님에게 고민을 상담한다,성립,,5점 리커트,"학생 ""고민 상담을 한다"" / 학부모 ""고민을 잘 털어놓는다"" — 표현 차이는 경미"
학생–학부모–교사,세부만족도 – 교육시설·환경,불가,교사 문항 미포함,5점 리커트,"유일하게 3자가 모두 1·2주기 존재하는 지표. 단 학생·학부모는 ""학습에 불편하지 않은 시설""인데 교사는 ""수업에 집중할 수 있는 환경(냉난방·조명)""으로 근무환경 관점. 학생·학부모만 보면 A급, 교사는 참고선으로 처리 권장"
학생–학부모–교사,학교에 대한 만족(계열 전체),성립,,5점 / 교사는 3문항 평균,"교사는 2주기에 TRQ28_4~6이 ""학교 만족도""로 분리됨(1주기 Q29_4~6). 단일 문항(학생·학부모)과 3문항 평균(교사)을 한 축에 겹치면 안 됨 — 병렬 제시 권장"
학생–학부모,관계 – 선생님이 무관심하다,성립,,5점 리커트,"역문항이라 역채점 필요. 추가로 학부모 문항이 2주기에 ""관심이 없다""→""관심이 부족하다""로 완화되어 학부모 쪽만 ②"
학생–학부모,관계 – 학교(친구)가 편안한가,성립,,5점 리커트,"학생 ""친구들과 있을 때 마음이 편하다"" vs 학부모 ""내 아이는 친구들과 있는 것을 좋아한다"" — 문구가 달라 수준 비교보다 추세 방향 비교가 안전"
학생–학부모,교육포부,성립,,학생 6점 / 학부모 5점,"척도 불일치: 학생만 ""6)잘 모르겠다""가 있음. 학생의 6번을 결측 처리해 5점으로 맞춘 뒤 비교할 것. 자기 기대 vs 자녀에 대한 기대의 격차가 관심 지점"
학생–교사,학생자치 활성화,성립,,5점 리커트,"학생은 학생자치회 기능 4문항(STQ31_1~4), 교사는 활성화 단일 평가 1문항. 세부도가 달라 1:1 대응 불가 — 학생 4문항 평균 vs 교사 1문항으로 종합 대비만 가능"
학생–학부모,사교육 (참여 vs 지출),불가,학생 문항 미포함,학생 이분 / 학부모 연속(만원),"척도가 근본적으로 달라 직접 비교 불가. ""참여율(학생)""과 ""지출 규모(학부모)""를 병렬 지표로 제시하는 방식 권장"
학생–교사,디지털 리터러시 교육,불가,교사 문항 미포함,학생 5점 / 교사 1주기 2점→2주기 5점,"학생은 ""배운 적이 있다""(경험), 교사는 ""활동을 한다""(실행)로 관점이 다름. 양쪽 모두 주기 간 ②라 이중 조정이 필요 — 참고 수준으로만"
학부모–교사,학부모회 활성화,불가,학부모 문항 미포함,학부모 4점 빈도 / 교사 5점 인식,"학부모는 총회 참석 횟수, 교사는 학부모회 활성화 인식. 측정 대상이 달라 병렬 제시만 가능"
학생–학부모–교사,디지털 전환에 따른 학교교육 인식 (9문항),불가,학생·학부모·교사 문항 미포함,5점 리커트,3자 문구가 완전히 동일한 유일한 사례. 1주기에 없어 시계열은 불가하나 2주기 내 3자 비교로는 최적. 3주기(2029)가 붙으면 3자 비교의 간판 지표가 됨
학부모–교사,경기교육정책 인지 여부 (22개 정책),불가,학부모·교사 문항 미포함,2점(알고 있음/모름),학부모·교사 문항이 동일. 정책 인지도의 주체 간 격차 확인 가능
학부모–교사,경기교육정책 필요성 (22개 정책),불가,학부모·교사 문항 미포함,3점 필요성,학부모·교사 문항이 동일
학생–학부모,학교급식,불가,학부모 문항 미포함,5점 리커트,학생은 1·2주기 모두 존재(①)하나 학부모는 2주기 신규(PRQ15_12). 주체 간 비교는 2주기부터만 가능
학부모–교사,학부모–교사 관계,불가,교사 문항 미포함,—,교사용에 학부모 관련 문항이 1주기 Q28_8(교사–학부모 관계 만족도) 하나뿐인데 2주기에서 삭제됨. 2주기 TRQ22(학부모와의 관계)는 신규라 1주기 대응 없음 → 시계열 3자 비교 불가
학생–교사,학생중심수업,불가,학생 문항 미포함,5점 리커트,학생용 수업활동 문항의 응답 주체가 2주기에 학생→교사로 바뀌어 학생 쪽이 대부분 ③. 교사용은 연계되나 학생용이 끊겨 주체 간 시계열 비교 불가
